NAME,AQI,YEAR,MONTH,DATE
Beijing,132,2016,1,15
Beijing,162,2016,1,16
Beijing,53,2016,1,17
Beijing,45,2016,1,18
Beijing,84,2016,1,19
Beijing,153,2016,1,20
Beijing,173,2016,1,21
Beijing,33,2016,1,22
Beijing,47,2016,1,23
Beijing,47,2016,1,24
Beijing,54,2016,1,25
Beijing,56,2016,1,26
Beijing,129,2016,1,27
Beijing,159,2016,1,28
Beijing,84,2016,1,29
Beijing,69,2016,1,30
Beijing,38,2016,1,31
Beijing,40,2016,2,1
Beijing,62,2016,2,2
Beijing,69,2016,2,3
Beijing,36,2016,2,4
Beijing,38,2016,2,5
Beijing,45,2016,2,6
Beijing,69,2016,2,7
Beijing,238,2016,2,8
Beijing,60,2016,2,9
Beijing,128,2016,2,10
Beijing,202,2016,2,11
Beijing,192,2016,2,12
Beijing,34,2016,2,13
Beijing,36,2016,2,14
Beijing,46,2016,2,15
Beijing,38,2016,2,16
Beijing,64,2016,2,17
Beijing,42,2016,2,18
Beijing,40,2016,2,19
Beijing,40,2016,2,20
Beijing,108,2016,2,21
Beijing,92,2016,2,22
Beijing,41,2016,2,23
Beijing,49,2016,2,24
Beijing,45,2016,2,25
Beijing,55,2016,2,26
Beijing,45,2016,2,27
Beijing,48,2016,2,28
Beijing,53,2016,2,29
Beijing,158,2016,3,1
Beijing,212,2016,3,2
Beijing,333,2016,3,3
Beijing,365,2016,3,4
Beijing,170,2016,3,5
Beijing,116,2016,3,6
Beijing,70,2016,3,7
Beijing,39,2016,3,8
Beijing,37,2016,3,9
Beijing,49,2016,3,10
Beijing,51,2016,3,11
Beijing,144,2016,3,12
Beijing,48,2016,3,13
Beijing,103,2016,3,14
Beijing,190,2016,3,15
Beijing,300,2016,3,16
Beijing,338,2016,3,17
Beijing,227,2016,3,18
Beijing,88,2016,3,19
Beijing,89,2016,3,20
Beijing,163,2016,3,21
Beijing,138,2016,3,22
Beijing,43,2016,3,23
Beijing,44,2016,3,24
Beijing,48,2016,3,25
Beijing,45,2016,3,26
Beijing,47,2016,3,27
Beijing,123,2016,3,28
Beijing,62,2016,3,29
Beijing,63,2016,3,30
Beijing,199,2016,3,31
Beijing,93,2016,4,1
Beijing,43,2016,4,2
Beijing,52,2016,4,3
Beijing,103,2016,4,4
Beijing,148,2016,4,5
Beijing,192,2016,4,6
Beijing,108,2016,4,7
Beijing,71,2016,4,8
Beijing,148,2016,4,9
Beijing,121,2016,4,10
Beijing,77,2016,4,11
Beijing,105,2016,4,12
Beijing,158,2016,4,13
Beijing,76,2016,4,14
Beijing,80,2016,4,15
Beijing,,2016,4,16
Beijing,46,2016,4,17
Beijing,50,2016,4,18
Beijing,98,2016,4,19
Beijing,92,2016,4,20
Beijing,127,2016,4,21
Beijing,74,2016,4,22
Beijing,54,2016,4,23
Beijing,113,2016,4,24
Beijing,119,2016,4,25
Beijing,95,2016,4,26
Beijing,120,2016,4,27
Beijing,122,2016,4,28
Beijing,168,2016,4,29
Beijing,209,2016,4,30
Beijing,234,2016,5,1
Beijing,82,2016,5,2
Beijing,60,2016,5,3
Beijing,68,2016,5,4
Beijing,102,2016,5,5
Beijing,116,2016,5,6
Beijing,74,2016,5,7
Beijing,97,2016,5,8
Beijing,64,2016,5,9
Beijing,100,2016,5,10
Beijing,200,2016,5,11
Beijing,62,2016,5,12
Beijing,73,2016,5,13
Beijing,58,2016,5,14
Beijing,49,2016,5,15
Beijing,75,2016,5,16
Beijing,162,2016,5,17
Beijing,134,2016,5,18
Beijing,184,2016,5,19
Beijing,171,2016,5,20
Beijing,150,2016,5,21
Beijing,142,2016,5,22
Beijing,95,2016,5,23
Beijing,75,2016,5,24
Beijing,66,2016,5,25
Beijing,63,2016,5,26
Beijing,122,2016,5,27
Beijing,138,2016,5,28
Beijing,95,2016,5,29
Beijing,204,2016,5,30
Beijing,138,2016,5,31
Beijing,108,2016,6,1
Beijing,156,2016,6,2
Beijing,160,2016,6,3
Beijing,179,2016,6,4
Beijing,161,2016,6,5
Beijing,189,2016,6,6
Beijing,127,2016,6,7
Beijing,170,2016,6,8
Beijing,153,2016,6,9
Beijing,123,2016,6,10
Beijing,64,2016,6,11
Beijing,146,2016,6,12
Beijing,96,2016,6,13
Beijing,50,2016,6,14
Beijing,92,2016,6,15
Beijing,90,2016,6,16
Beijing,59,2016,6,17
Beijing,145,2016,6,18
Beijing,149,2016,6,19
Beijing,166,2016,6,20
Beijing,175,2016,6,21
Beijing,150,2016,6,22
Beijing,117,2016,6,23
Beijing,70,2016,6,24
Beijing,59,2016,6,25
Beijing,140,2016,6,26
Beijing,98,2016,6,27
Beijing,98,2016,6,28
Beijing,145,2016,6,29
Beijing,130,2016,6,30
Beijing,82,2016,7,1
Beijing,119,2016,7,2
Beijing,137,2016,7,3
Beijing,173,2016,7,4
Beijing,161,2016,7,5
Beijing,155,2016,7,6
Beijing,177,2016,7,7
Beijing,146,2016,7,8
Beijing,143,2016,7,9
Beijing,137,2016,7,10
Beijing,129,2016,7,11
Beijing,52,2016,7,12
Beijing,112,2016,7,13
Beijing,80,2016,7,14
Beijing,52,2016,7,15
Beijing,54,2016,7,16
Beijing,154,2016,7,17
Beijing,139,2016,7,18
Beijing,133,2016,7,19
Beijing,48,2016,7,20
Beijing,40,2016,7,21
Beijing,100,2016,7,22
Beijing,158,2016,7,23
Beijing,131,2016,7,24
Beijing,57,2016,7,25
Beijing,93,2016,7,26
Beijing,168,2016,7,27
Beijing,128,2016,7,28
Beijing,158,2016,7,29
Beijing,170,2016,7,30
Beijing,77,2016,7,31
Beijing,109,2016,8,1
Beijing,96,2016,8,2
Beijing,153,2016,8,3
Beijing,155,2016,8,4
Beijing,103,2016,8,5
Beijing,129,2016,8,6
Beijing,69,2016,8,7
Beijing,95,2016,8,8
Beijing,135,2016,8,9
Beijing,112,2016,8,10
Beijing,114,2016,8,11
Beijing,79,2016,8,12
Beijing,50,2016,8,13
Beijing,104,2016,8,14
Beijing,45,2016,8,15
Beijing,96,2016,8,16
Beijing,87,2016,8,17
Beijing,99,2016,8,18
Beijing,67,2016,8,19
Beijing,134,2016,8,20
Beijing,179,2016,8,21
Beijing,103,2016,8,22
Beijing,95,2016,8,23
Beijing,109,2016,8,24
Beijing,34,2016,8,25
Beijing,45,2016,8,26
Beijing,48,2016,8,27
Beijing,46,2016,8,28
Beijing,66,2016,8,29
Beijing,109,2016,8,30
Beijing,50,2016,8,31
Beijing,39,2016,9,1
Beijing,39,2016,9,2
Beijing,86,2016,9,3
Beijing,106,2016,9,4
Beijing,54,2016,9,5
Beijing,,2016,9,6
Beijing,87,2016,9,7
Beijing,55,2016,9,8
Beijing,53,2016,9,9
Beijing,54,2016,9,10
Beijing,65,2016,9,11
Beijing,72,2016,9,12
Beijing,118,2016,9,13
Beijing,130,2016,9,14
Beijing,111,2016,9,15
Beijing,172,2016,9,16
Beijing,57,2016,9,17
Beijing,42,2016,9,18
Beijing,44,2016,9,19
Beijing,59,2016,9,20
Beijing,97,2016,9,21
Beijing,137,2016,9,22
