SIDO,SIGUNGU,SIGUNGU2,SIG_CD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
인천,부평구,,28237,17088.49,17262.39,17457.10,17323.05,17414.54,17740.28,17829.85," 17,785.67 "," 17,793.11 "," 17,629.22 "," 17,735.73 "," 17,530.06 "," 17,470.95 "," 17,404.46 "," 17,404.80 "," 17,368.12 "," 17,176.87 "
인천,계양구,,28245,7397.07,7455.12,7484.95,7463.36,7396.49,7359.27,7511.62," 7,517.63 "," 7,512.74 "," 7,548.58 "," 7,631.85 "," 7,554.71 "," 7,508.88 "," 7,544.72 "," 7,451.13 "," 7,336.48 "," 7,247.60 "
인천,서구,,28260,3099.99,3148.72,3163.60,3124.30,3259.11,3427.12,3426.58," 3,559.93 "," 3,464.91 "," 3,480.86 "," 3,582.34 "," 3,828.78 "," 4,121.57 "," 4,298.33 ",#N/A," 4,380.84 "," 4,368.87 "
인천,강화군,,28710,163.37,162.78,159.75,158.16,158.34,159.00,159.32, 161.60 , 163.85 , 163.01 , 163.18 , 162.35 , 162.27 , 162.24 , 163.13 , 164.47 , 165.30 
인천,옹진군,,28720,85.39,85.59,85.95,86.85,90.20,94.98,100.33, 100.47 , 102.13 , 106.12 , 109.04 , 113.34 , 116.51 , 120.29 , 120.30 , 121.74 , 123.79 
광주,동구,,29110,2530.18,2438.93,2399.32,2384.14,2409.81,2342.69,2334.70," 2,354.88 "," 2,250.52 "," 2,205.68 "," 2,137.72 "," 2,164.68 "," 2,146.07 "," 2,094.01 "," 2,048.21 "," 2,007.58 "," 1,942.27 "
광주,서구,,29140,6155.28,6436.88,6677.00,6714.35,6761.53,6665.82,6619.77," 6,571.62 "," 6,526.62 "," 6,418.60 "," 6,491.40 "," 6,654.03 "," 6,625.34 "," 6,597.16 "," 6,494.02 "," 6,384.11 "," 6,479.79 "
광주,남구,,29155,3790.93,3702.90,3624.43,3538.91,3493.23,3511.97,3466.58," 3,422.36 "," 3,491.28 "," 3,501.92 "," 3,553.95 "," 3,589.53 "," 3,578.36 "," 3,545.46 "," 3,604.16 "," 3,629.10 "," 3,603.24 "
광주,북구,,29170,3907.05,3894.10,3869.13,3795.94,3760.45,3729.10,3786.30," 3,829.26 "," 3,894.66 "," 3,855.91 "," 3,834.99 "," 3,694.86 "," 3,688.21 "," 3,703.17 "," 3,721.36 "," 3,709.97 "," 3,666.11 "
광주,광산구,,29200,1134.56,1179.99,1235.04,1287.53,1328.50,1377.14,1398.14," 1,418.28 "," 1,438.84 "," 1,538.40 "," 1,629.51 "," 1,684.73 "," 1,727.71 "," 1,762.58 "," 1,782.37 "," 1,798.04 "," 1,808.53 "
대전,동구,,30110,1845.92,1803.27,1758.26,1756.02,1743.80,1716.03,1729.48," 1,789.59 "," 1,800.52 "," 1,801.55 "," 1,821.48 "," 1,839.21 "," 1,843.82 "," 1,833.96 "," 1,796.49 "," 1,753.20 "," 1,719.28 "
대전,중구,,30140,4308.56,4329.59,4285.62,4329.87,4290.29,4302.15,4252.82," 4,280.46 "," 4,260.09 "," 4,249.85 "," 4,278.56 "," 4,273.34 "," 4,251.27 "," 4,263.76 "," 4,203.04 "," 4,122.54 "," 4,062.97 "
대전,서구,,30170,5000.06,5088.61,5203.91,5255.43,5340.98,5338.20,5299.90," 5,266.22 "," 5,233.22 "," 5,233.69 "," 5,237.30 "," 5,227.59 "," 5,200.18 "," 5,225.73 "," 4,307.86 "," 5,140.20 "," 5,141.62 "
대전,유성구,,30200,889.85,969.27,1057.35,1094.66,1148.54,1245.97,1371.93," 1,413.43 "," 1,465.92 "," 1,503.85 "," 1,588.93 "," 1,660.51 "," 1,728.30 "," 1,771.03 "," 1,857.06 "," 1,901.18 "," 1,946.13 "
대전,대덕구,,30230,3380.57,3374.75,3360.46,3350.01,3316.66,3262.51,3175.22," 3,115.49 "," 3,085.16 "," 3,040.76 "," 3,031.98 "," 2,999.22 "," 2,995.64 "," 2,975.50 "," 2,934.51 "," 2,865.64 "," 2,805.44 "
울산,중구,,31110,6275.68,6299.28,6352.12,6318.70,6362.52,6366.54,6349.38," 6,395.33 "," 6,323.92 "," 6,223.82 "," 6,296.92 "," 6,289.84 "," 6,299.56 "," 6,340.13 "," 6,453.17 "," 6,606.02 "," 6,553.34 "
울산,남구,,31140,4686.04,4805.88,4857.75,4851.45,4848.39,4817.58,4794.85," 4,750.79 "," 4,764.80 "," 4,737.84 "," 4,743.16 "," 4,725.58 "," 4,780.44 "," 4,801.69 "," 4,764.21 "," 4,705.46 "," 4,664.41 "
울산,동구,,31170,5251.30,5221.83,5238.61,5204.25,5183.02,5160.56,5198.58," 5,083.21 "," 4,916.87 "," 4,837.08 "," 4,741.93 "," 4,780.24 "," 4,872.86 "," 4,953.13 "," 4,903.06 "," 4,855.28 "," 4,842.66 "
울산,북구,,31200,770.13,778.78,791.72,837.74,884.66,928.94,945.73, 989.12 ," 1,057.77 "," 1,090.84 "," 1,128.00 "," 1,159.91 "," 1,169.94 "," 1,180.23 "," 1,199.64 "," 1,214.45 "," 1,241.26 "
울산,울주군,,31710,218.25,225.54,226.93,230.28,230.91,230.92,234.60, 242.73 , 253.86 , 258.69 , 265.86 , 270.40 , 274.90 , 275.48 , 283.07 , 289.65 , 289.49 
세종,세종시,,36110,222.58,224.95,227.74,228.89,233.59,233.27,228.97, 221.32 , 217.61 , 219.94 , 226.55 , 229.34 , 243.32 , 262.75 , 335.83 , 453.64 , 522.83 
경기,수원시,장안구,41111,8444.80,8828.90,9456.12,8624.04,8568.15,8580.49,8740.68," 8,680.32 "," 8,633.31 "," 8,764.89 "," 8,852.34 "," 8,771.44 "," 8,794.12 "," 9,024.35 "," 9,033.10 "," 8,967.68 "," 8,891.64 "
경기,수원시,권선구,41113,6437.63,6588.08,6585.41,6060.22,6062.65,6272.95,6484.42," 6,555.98 "," 6,505.80 "," 6,429.51 "," 6,486.04 "," 6,789.30 "," 7,031.37 "," 7,032.78 "," 7,204.39 "," 7,441.77 "," 7,597.35 "
경기,수원시,팔달구,41115,9181.49,9337.07,9975.95,16468.54,16851.16,16697.69,16653.52," 16,588.54 "," 16,303.32 "," 16,815.31 "," 16,558.93 "," 16,316.38 "," 16,084.63 "," 15,929.96 "," 15,826.63 "," 15,492.25 "," 15,440.52 "
경기,수원시,영통구,41117,,,,8891.14,8812.96,8944.60,9256.32," 9,190.04 "," 9,477.06 "," 9,411.43 "," 9,489.24 "," 9,630.17 "," 10,446.60 "," 11,226.44 "," 11,913.05 "," 12,117.40 "," 12,306.68 "
경기,성남시,수정구,41131,5589.28,5600.70,5648.06,5658.02,5700.13,5696.00,5641.52," 5,583.24 "," 5,402.81 "," 5,318.31 "," 5,294.38 "," 5,185.79 "," 5,141.57 "," 5,013.62 "," 4,911.76 "," 4,827.31 "," 5,119.96 "
경기,성남시,중원구,41133,10377.64,10370.85,10369.36,10414.76,10309.91,10217.96,10039.86," 9,967.17 "," 10,049.21 "," 9,849.26 "," 9,778.56 "," 9,660.96 "," 9,618.96 "," 9,706.32 "," 3,611.53 "," 9,465.03 "," 9,007.45 "
경기,성남시,분당구,41135,5664.31,5781.18,5869.34,6148.84,6379.60,6506.50,6348.65," 6,258.74 "," 6,183.63 "," 6,601.14 "," 6,894.15 "," 6,998.90 "," 7,033.32 "," 7,094.83 "," 18,896.28 "," 7,193.02 "," 7,220.79 "
경기,의정부시,,41150,4425.98,4499.76,4637.93,4838.44,4872.85,4931.59,5037.21," 5,171.09 "," 5,283.89 "," 5,285.62 "," 5,295.51 "," 5,278.34 "," 5,262.88 "," 5,285.32 "," 5,286.95 "," 5,322.05 "," 5,377.26 "
경기,안양시,만안구,41171,6964.54,7146.72,7359.66,7292.69,7257.81,7317.64,7322.80," 7,275.14 "," 7,193.66 "," 7,178.35 "," 7,287.92 "," 7,200.75 "," 6,938.29 "," 6,848.83 "," 6,767.57 "," 6,766.47 "," 6,900.21 "
경기,안양시,동안구,41173,14882.22,15056.81,14859.74,15402.50,16214.15,16310.63,16269.89," 16,345.28 "," 16,305.35 "," 16,159.84 "," 16,212.68 "," 16,080.91 "," 16,325.24 "," 16,312.13 "," 16,121.12 "," 15,985.64 "," 15,735.73 "
경기,부천시,,41190,14516.85,14614.90,15277.19,15793.51,16007.75,16005.57,16076.01," 16,168.83 "," 16,237.68 "," 16,279.83 "," 16,378.27 "," 16,327.06 "," 16,280.15 "," 16,163.72 "," 16,011.98 "," 15,887.48 "," 15,931.55 "
경기,광명시,,41210,8783.06,8735.74,8852.65,8728.14,8606.55,8512.97,8137.40," 8,129.00 "," 8,064.25 "," 8,161.74 "," 8,933.23 "," 9,222.76 "," 9,231.68 "," 9,168.19 "," 9,049.21 "," 8,956.56 "," 8,813.67 "
경기,평택시,,41220,787.30,792.28,792.86,807.15,819.80,847.50,875.82, 887.83 , 894.63 , 900.83 , 920.40 , 933.33 , 949.36 , 966.27 , 982.69 ," 1,005.26 "," 1,027.83 "
경기,동두천시,,41250,789.39,776.20,764.83,781.25,828.04,863.66,896.95, 928.07 , 949.56 , 974.42 , 999.98 ," 1,006.21 "," 1,015.84 "," 1,019.84 "," 1,020.22 "," 1,024.11 "," 1,027.21 "
경기,안산시,상록구,41271,,,5933.59,6083.27,6207.79,6326.05,6445.89," 6,519.74 "," 6,570.48 "," 6,467.72 "," 6,548.98 "," 6,578.86 "," 6,590.60 "," 6,596.90 "," 6,578.30 "," 6,543.99 "," 6,480.66 "
경기,안산시,단원구,41273,,,3257.58,3402.97,3488.36,3550.16,3635.13," 3,650.70 "," 3,635.99 "," 3,631.25 "," 3,680.43 "," 3,657.81 "," 3,645.23 "," 3,618.39 "," 3,566.65 "," 3,430.70 "," 3,262.88 "
경기,고양시,덕양구,41281,2234.81,2246.07,2279.32,2301.30,2331.79,2353.12,2303.25," 2,285.73 "," 2,337.10 "," 2,348.89 "," 2,382.65 "," 2,367.08 "," 2,395.38 "," 2,479.48 "," 2,563.57 "," 2,669.33 "," 2,694.75 "
경기,고양시,일산동구,41285,3623.03,3724.08,3889.31,4098.73,4232.85,3817.16,4055.33," 4,340.67 "," 4,420.34 "," 4,430.07 "," 6,287.93 "," 4,704.31 "," 4,704.76 "," 4,738.38 "," 4,742.01 "," 4,765.81 "," 4,881.48 "
경기,고양시,일산서구,41287,5003.69,5143.25,5371.44,5660.67,5845.90,6760.32,6766.44," 6,780.86 "," 6,795.17 "," 6,731.57 "," 7,988.51 "," 6,802.17 "," 6,846.31 "," 6,956.56 "," 6,989.47 "," 7,046.86 "," 7,068.70 "
경기,과천시,,41290,1992.08,1985.75,1965.99,1961.42,1905.88,1700.22,1686.96," 1,737.43 "," 1,937.71 "," 2,009.30 ", 35.86 ," 2,006.22 "," 1,981.48 "," 1,967.80 "," 1,956.01 "," 1,922.27 "," 1,778.15 "
경기,구리시,,41310,5088.40,5551.36,5803.25,5795.62,5809.70,5782.96,5821.55," 5,909.54 "," 5,881.86 "," 5,873.33 "," 5,896.94 "," 5,851.14 "," 5,774.31 "," 5,694.19 "," 5,608.29 "," 5,605.21 "," 5,816.86 "
경기,남양주시,,41360,779.14,815.34,853.52,877.69,909.33,981.81,1026.56," 1,073.82 "," 1,103.23 "," 1,146.61 "," 1,231.64 "," 1,262.89 "," 1,308.88 "," 1,349.85 "," 1,388.91 "," 1,426.68 "," 1,445.59 "
경기,오산시,,41370,2477.45,2678.93,2713.13,2765.00,2838.57,3036.89,3188.26," 3,410.79 "," 3,512.78 "," 3,734.69 "," 4,267.36 "," 4,533.35 "," 4,686.63 "," 4,808.14 "," 4,880.51 "," 4,840.25 "," 4,883.41 "
경기,시흥시,,41390,2419.62,2544.14,2665.78,2748.46,2817.05,2881.19,2902.68," 2,902.56 "," 2,918.53 "," 2,947.32 "," 2,990.37 "," 2,970.86 "," 2,958.67 "," 2,938.68 "," 2,922.02 "," 2,932.88 "," 2,966.87 "
경기,군포시,,41410,7431.17,7401.62,7387.17,7521.94,7577.19,7639.36,7552.14," 7,573.12 "," 7,634.33 "," 7,583.14 "," 7,915.93 "," 7,900.71 "," 7,867.14 "," 7,853.68 "," 7,921.06 "," 7,896.61 "," 7,824.06 "
경기,의왕시,,41430,2247.99,2301.66,2472.42,2657.12,2696.99,2702.87,2560.16," 2,500.02 "," 2,490.31 "," 2,608.25 "," 2,729.89 "," 2,770.11 "," 2,865.46 "," 2,959.22 "," 2,935.63 "," 2,921.86 "," 2,903.59 "
경기,하남시,,41450,1325.36,1328.54,1370.28,1378.73,1395.75,1427.36,1448.64," 1,473.48 "," 1,543.85 "," 1,596.78 "," 1,617.33 "," 1,595.04 "," 1,572.16 "," 1,559.62 "," 1,600.50 "," 1,792.07 "," 2,269.22 "
