PM10,EM2_CO,EM2_NOX,EM2_SOX,EM2_TSP,EM2_PM10,EM2_VOC,EM2_NH3,EM2_PM2.5,EM3_CO,EM3_NOX,EM3_SOX,EM3_TSP,EM3_PM10,EM3_VOC,EM3_NH3,EM3_PM2.5,EM4_CO,EM4_NOX,EM4_SOX,EM4_TSP,EM4_PM10,EM4_VOC,EM4_NH3,EM4_PM2.5,EM5_CO,EM5_NOX,EM5_SOX,EM5_TSP,EM5_PM10
37.64112904,351169,946144,1398275,34059,21620,20700,23052,0,334688,3627689,3531465,299832,198591,78934,47167,0,70689,3039645,1986754,71471,67632,1530229,0,0,0,0,0,0,0
56.04879011,970771,762389,359233,31256,20946,21998,13827,0,466735,3467041,3473769,237062,156737,91618,47877,0,15104,649453,436182,15155,14379,35673,154060,0,0,0,0,0,0
34.06557377,41611,65663,33918,3858,2435,1174,2004,0,4028,36984,63455,2336,1448,824,635,0,0,0,0,0,0,15116,0,0,0,0,0,0,0
60.64185393,,,,,,,,,64108,640705.75,769044.5,227882.25,152387.75,12465.75,5875,0,0,0,1400.5,8657.75,23.5,389813.75,0,0,0,0,0,0,0
41.92607527,82862,163818,100015,3663,2391,3889,4823,0,36741,355032,263383,8655,5392,8439,5346,0,0,0,0,0,0,10443,0,0,0,0,0,0,0
34.26344086,327862,564102,164942,23082,14959,16337,12494,0,59677,478482,258311,8909,5548,12434,7089,0,68,2912,12118,837,533,504457,0,0,0,0,0,0,0
47.53494624,415527,325793,181245,15939,10257,5759,8585,0,101999,1042804,931716,79439,52331,21786,14932,0,4528,194684,126771,4528,4301,60606,0,0,0,0,0,0,0
45.49777638,194935,375854,140272,17308,10936,7556,10883,0,310160,3245403,1789944,32868,20511,76713,47046,0,1165427,728392,3645068,87407,48074,16920797,2258015,0,0,0,0,0,0
45.60757781,91828,65198,35354,2736,1773,888,1816,0,1946,37633,58678,30229,20245,286,62,0,0,0,0,0,0,814,0,0,0,0,0,0,0
37.27198697,98506,205922,151379,10700,6749,4216,5819,0,15320,74880,105400,1493,961,1411,1893,0,0,0,404,0,0,1836,0,0,0,0,0,0,0
93.02300885,729178.25,471990.5,392925.5,48064.5,30735.75,12098,7574.25,0,64108,640705.75,769044.5,227882.25,152387.75,12465.75,5875,0,0,0,1400.5,8657.75,23.5,389813.75,0,0,0,0,0,0,0
16.77534247,326792,562003,197458,28691,18700,19576,10370,0,20820,213965,175761,2757,1715,5015,3186,0,0,0,0,0,0,1777,0,0,0,0,0,0,0
46.41772152,156875,112891,104078,5614,3614,1634,3348,0,2545,35440,58138,21537,14421,362,219,0,0,0,462,0,0,1173,0,0,0,0,0,0,0
