,year,month,name,sig_cd,weather_cd,SO2,CO,O3,NO2,PM10
215,2001,10,태하리,47940,115,0.001166891,0.509825034,0.040946164,0.000663526,33.9851752
216,2001,10,대도동,47111,138,0.005643855,0.705578231,0.022542945,0.030976994,39.53974895
217,2001,10,장흥동,47111,138,0.005439024,0.894579946,0.01449729,0.022208672,64.45295056
219,2001,10,송정1동,29200,156,0.002260811,0.288394062,0.012932615,0.035563342,59.72237197
220,2001,10,서석동,29110,156,0.004752981,0.806132879,0.01223339,0.026803419,34.48805461
221,2001,10,두암동,29170,156,0.003340541,0.928918919,0.019052703,0.037861607,53.38108108
222,2001,10,농성동,29140,156,0.003197772,1.22962963,0.014713514,0.019474553,68.87652439
224,2001,10,대명동,27200,143,0.006109375,0.685483871,0.014987838,0.032704301,61.36069987
225,2001,10,신암동,27140,143,0.003,0.656891892,0.012661765,0.030643338,49.54442877
226,2001,10,노원동,27230,143,0.007142045,0.832108844,0.00690687,0.011269542,NA
227,2001,10,이현동,27170,143,0.010112619,NA,0.008640162,0.028359177,67.01617251
229,2001,10,만촌동,27260,143,0.004394347,0.469189189,0.014783311,0.024815612,42.51599444
231,2001,10,수창동,27110,143,0.005440701,0.799530516,NA,0.032284939,61.94285714
232,2001,10,읍내동,30230,133,0.007822581,0.892741935,0.012435484,0.037305108,47.75862069
233,2001,10,구성동,30200,133,0.003475806,0.433870968,0.016379032,0.02672043,30.16935484
235,2001,10,문창동,30140,133,0.003709677,1.308333333,0.015528226,0.050961022,37.10344828
236,2001,10,청룡동,26410,159,0.002507483,0.895510204,0.019010884,0.013383673,65.58051421
237,2001,10,대연동,26290,159,0.005256098,0.904381847,0.018578591,0.033245856,48.78851541
240,2001,10,전포동,26230,159,0.0069,0.88412483,0.019339213,0.036464043,50.66801619
241,2001,10,덕천동,26320,159,0.003374324,0.677027027,0.027991892,0.021768919,56.73655914
242,2001,10,학장동,26530,159,0.007736477,0.881855956,0.020024965,0.036092647,71.2
243,2001,10,장림동,26380,159,0.008437077,0.838836265,0.025278378,0.030225981,76.58681023
244,2001,10,연산동,26470,159,0.006453258,0.623369565,0.022177989,0.027496865,40.80583942
245,2001,10,태종대,26200,159,0.00923913,0.705714286,0.028440816,0.024677551,35.23829787
246,2001,10,광복동,26110,159,0.011214286,0.608776978,0.022769345,0.032980769,52.75197472
247,2001,10,강남구,11680,108,0.003380244,0.49796748,0.008615489,0.022972067,NA
248,2001,10,강동구,11740,108,0.001974114,0.80246238,0.009110354,0.037965894,85.525
249,2001,10,강북구,11305,108,0.004261224,0.697771588,0.007482289,0.046959097,73.56545209
250,2001,10,강서구,11500,108,0.003231394,0.792828146,0.012140731,0.038820027,79.64266304
251,2001,10,관악구,11620,108,0.003088926,0.839916551,0.018686111,0.032137838,NA
252,2001,10,광진구,11215,108,0.003584733,0.96194825,0.011723404,0.043382677,76.11367127
253,2001,10,구로구,11530,108,0.003639676,0.913513514,0.010240216,0.042319838,68.30747922
255,2001,10,금천구,11545,108,0.002640559,0.654646325,0.009519499,0.032834262,42.81461434
256,2001,10,노원구,11350,108,0.004460274,0.933785617,0.012924324,0.034982385,66.52837838
257,2001,10,도봉구,11320,108,0.005112772,0.82195122,0.014112466,0.03061413,74.50340136
260,2001,10,동대문구,11230,108,0.003816216,0.559324324,0.010893243,0.029654054,67.39178082
261,2001,10,동작구,11590,108,0.002804769,0.444354839,0.008339888,0.02947037,52.05555556
262,2001,10,마포구,11440,108,0.004824561,0.895915493,0.007409704,0.034653899,58.80081301
263,2001,10,서대문구,11410,108,0.003308625,0.842375169,0.00997166,0.036700405,65.76584022
264,2001,10,서초구,11650,108,0.005331522,0.362872629,0.008654472,0.034284939,60.29288703
265,2001,10,성동구,11200,108,0.003614654,0.738127544,0.007027027,0.045481732,78.11891892
266,2001,10,성북구,11290,108,0.00598374,1.634294872,0.012153392,0.027949206,57.47567568
267,2001,10,송파구,11710,108,0.003940853,0.485042735,0.010304828,0.033632231,65.05807365
269,2001,10,양천구,11470,108,0.003333333,0.9100271,0.007091808,0.029097059,65.71081081
270,2001,10,영등포구,11560,108,0.006190678,0.680150376,0.007055256,0.025741248,NA
272,2001,10,용산구,11170,108,0.005023292,0.364440994,0.009936335,0.031613354,92.71583851
273,2001,10,은평구,11380,108,0.006446837,1.297983871,0.020004032,0.027775538,44.80913978
275,2001,10,종로구,11110,108,NA,NA,NA,NA,NA
276,2001,10,중구,11140,108,0.008237197,1.085818713,0.014770604,0.035826613,33.23924731
277,2001,10,중랑구,11260,108,0.005323362,1.269263456,0.017832168,0.021438172,78.40456989
280,2001,10,무거동,31140,152,0.002979798,0.784248555,0.017277778,0.015099711,38.35820896
281,2001,10,부곡동(울산),31140,152,0.015635704,NA,0.022379358,0.031094576,NA
282,2001,10,삼산동,31140,152,0.0024,NA,0.013330144,0.019361905,47.54285714
283,2001,10,신정동,31140,152,0.003086124,NA,0.015347754,0.0047696,27.41467305
284,2001,10,야음동,31140,152,0.010741543,0.800811908,0.020035183,0.031581867,33.25552486
285,2001,10,여천동(울산),31140,152,0.013361151,NA,0.0254,NA,NA
286,2001,10,대송동,31170,152,0.006001443,0.21962482,0.019512658,NA,NA
287,2001,10,덕신리,31710,152,0.004322581,0.583361921,0.014937163,0.022635332,NA
288,2001,10,상남리,31710,152,0.011252401,0.832782369,0.018905405,0.029327027,42.64308682
290,2001,10,화산리,31710,152,0.020110774,0.899687988,0.021628225,0.024216995,101.5660091
291,2001,10,성남동,31110,152,0.005816216,NA,0.015564865,NA,NA
292,2001,10,석모리,28710,201,0.003318977,0.636155914,0.042384409,0.014331989,61.52284946
293,2001,10,송해,28710,201,0.002684054,0.346944858,0.026698957,0.010065574,64.29083095
296,2001,10,숭의,28170,112,0.007760837,0.949130435,0.01186676,0.049767181,55.97959184
297,2001,10,고잔,28200,112,0.004410112,0.87261236,0.012963483,0.026652174,62.12516824
298,2001,10,구월동,28200,112,0.005450704,1.094225352,0.009885915,0.03136338,76.33147632
299,2001,10,송림,28140,112,0.008682517,0.724055944,0.014078322,0.035779021,42.40243902
300,2001,10,부평,28237,112,0.003795804,0.842657343,0.014256303,0.029875524,38.76125512
301,2001,10,석남,28260,112,0.004154596,0.86448468,0.015953975,0.038075209,42.59084791
302,2001,10,연희,28260,112,0.005141655,0.762412342,0.018420757,0.027117812,43.60834455
303,2001,10,신흥,28110,112,0.008805014,0.727994429,0.010529248,0.02558078,59.2166891
304,2001,10,중동,46230,168,0.001982677,NA,0.029473324,NA,24.40857143
305,2001,10,태인동,46230,168,0.001803191,0.503603604,0.025726087,0.012151163,NA
306,2001,10,용당동,46110,165,0.007121951,0.464826498,NA,NA,37.64057508
307,2001,10,장천동,46150,168,0.002539919,0.390257104,0.017725304,0.015604871,22.70325203
308,2001,10,광무동,46130,168,0.009547196,0.663351499,0.019691218,NA,NA
309,2001,10,월내동,46130,168,0.00698331,0.247632312,NA,NA,52.24276527
311,2001,10,나불리,46830,165,NA,0.598782138,0.013192152,0.013147497,43.63243243
312,2001,10,개정동,45130,140,0.006421053,0.852631579,0.010077827,0.017742489,86.89331437
313,2001,10,소룡동,45130,140,0.012620438,0.647153285,0.026994161,0.022905109,32.1387632
315,2001,10,남중동,45140,140,0.002646109,0.986196769,0.015610866,0.044080882,75.57856094
316,2001,10,운암면,45750,244,0.002175287,0.820833333,0.026629881,0.005985632,35.63400576
317,2001,10,삼천동,45111,146,0.00296,0.942074074,0.01202819,0.037871111,38.06518519
318,2001,10,팔복동,45113,146,0.005169096,0.628279883,0.012696793,0.029650146,38.8425656
319,2001,10,고산리,50110,184,0.001413514,0.477162162,0.05056038,0.005644505,37.93080054
320,2001,10,이도동,50110,184,0.003662447,0.564796634,0.036501408,0.020786217,24.22081575
321,2001,10,독곶리,44210,129,0.005244628,0.834431631,0.03080033,0.016228995,54.08731466
322,2001,10,동문동,44210,129,0.007459502,0.923676012,0.020582298,0.026439441,63.81677019
323,2001,10,성황동,44131,232,0.00630349,1.423903177,0.015465961,0.037441755,49.76399395
324,2001,10,파도리,44825,129,0.001520626,0.519061166,0.035630682,0.004951705,60.95299145
325,2001,10,청천면,43760,127,0.001456091,0.603399433,0.019871105,0.006877168,35.53125
326,2001,10,장락동,43150,221,0.006380376,0.394354839,0.014752688,0.029070845,46.80918221
327,2001,10,사천동,43114,131,0.00418156,0.713778409,0.018388889,0.026480851,50.52941176
328,2001,10,송정동(봉명동),43113,131,0.005016272,0.725997046,0.015789396,0.028254062,70.20353982
329,2001,11,옥천동,42150,105,0.00664624,NA,0.037168405,0.012638889,NA
330,2001,11,간성읍,42820,90,0.01074048,NA,0.042821596,0.004739069,7.30878187
331,2001,11,방산면,42800,211,0.001935714,NA,0.010606944,0.012815278,NA
332,2001,11,명륜동,42130,114,0.011009722,1.039305556,0.013077778,0.021837037,52.98989899
333,2001,11,중앙동(원주),42130,114,0.010651389,1.410138889,0.009397222,0.033281337,46.65555556
334,2001,11,중앙로,42110,101,0.009512535,1.208191654,0.009114206,NA,87.08786611
335,2001,11,행신동,41281,108,NA,1.756111111,0.00684375,0.004614846,NA
336,2001,11,과천동,41290,108,NA,0.871870398,NA,0.02726215,49.24
337,2001,11,별양동,41290,108,0.006620896,0.876470588,0.006427835,0.031785075,73.17164179
339,2001,11,철산동,41210,108,0.007818056,1.583888889,0.010580556,0.035,70.44722222
340,2001,11,교문동,41310,108,0.007980556,1.105694444,0.007526389,0.036925,85.46924177
341,2001,11,당동,41410,119,0.007732049,1.011403509,0.009795096,0.053591228,81.66959578
342,2001,11,사우동,41570,201,0.006275495,0.866149068,NA,0.035788427,72.72213967
343,2001,11,금곡동,41360,108,0.012341121,NA,0.007564924,0.026344444,56.84528833
344,2001,11,내동,41190,112,0.006672222,1.384166667,0.008391667,0.051519444,103.1208333
345,2001,11,소사본동,41190,112,0.008343305,1.390973202,0.018242254,0.054864162,93.63098592
346,2001,11,중2동,41190,112,0.006010836,0.781940299,0.004444776,0.03788806,56.72280179
347,2001,11,단대동,41131,108,0.005623413,1.099858956,0.007282087,0.029212976,75.977433
349,2001,11,정자1동,41135,119,NA,1.019907407,NA,0.037196078,95.25045704
350,2001,11,광교동,41117,119,0.00605,1.075555556,0.008443165,0.046375,69.63061798
351,2001,11,신풍동,41115,119,0.006905556,1.543194444,0.011769912,0.036581944,87.2
352,2001,11,인계동,41115,119,0.007326389,1.394444444,0.010020833,0.029425665,86.8490566
353,2001,11,시화공단,41390,112,0.012939297,1.210229008,0.011178626,0.047253435,71.02118003
